"Intersection","Gene","Gene_Function"
"Wounded_2h vs Wounded_0h","pdam_00004804","Sowahc: Ankyrin repeat domain-containing protein SOWAHC (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004803","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004842","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00023090","MYL9: Myosin regulatory light polypeptide 9 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00023084","BHMT: Betaine--homocysteine S-methyltransferase 1 (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00022581","unc93a: Protein unc-93 homolog A (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00015861","F13H10.3: Sodium-coupled neutral amino acid transporter 9 homolog (Caenorhabditis elegans)"
"Wounded_2h vs Wounded_0h","pdam_00020947","enpp4: Bis(5'-adenosyl)-triphosphatase enpp4 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00010989","Phb2: Prohibitin-2 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00010990","KLHL17: Kelch-like protein 17 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003718","rps21: 40S ribosomal protein S21 (Ictalurus punctatus)"
"Wounded_2h vs Wounded_0h","pdam_00003711","mapre1: Microtubule-associated protein RP/EB family member 1 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00003697","Lrrc43: Leucine-rich repeat-containing protein 43 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00003714","HDAC1: Histone deacetylase 1 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00003734","KLHL2: Kelch-like protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00007663","MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00017267","Galr2: Galanin receptor type 2 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00008969","Park2: E3 ubiquitin-protein ligase parkin (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00008960","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008961","RPL13A: 60S ribosomal protein L13a (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00009016","Ryncolin-4 (Cerberus rynchops)"
"Wounded_2h vs Wounded_0h","pdam_00008986","COX19: Cytochrome c oxidase assembly protein COX19 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00019292","gamt-a: Guanidinoacetate N-methyltransferase A (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00024153","pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)"
"Wounded_2h vs Wounded_0h","pdam_00007690","SIX6: Homeobox protein SIX6 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00022343","CHST11: Carbohydrate sulfotransferase 11 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00010420","PF13_0198: Reticulocyte-binding protein 2 homolog a (Plasmodium falciparum (isolate 3D7))"
"Wounded_2h vs Wounded_0h","pdam_00007774","Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00000410","KCTD10: BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00008076","chordc1: Cysteine and histidine-rich domain-containing protein 1 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00017618","shep: Protein alan shepard (Drosophila willistoni)"
"Wounded_2h vs Wounded_0h","pdam_00012655","NLGN4Y: Neuroligin-4%2C Y-linked (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00012668","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012667","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00023102","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008452","ISCW010018: Uncharacterized protein NCBP2-AS2 homolog (Ixodes scapularis)"
"Wounded_2h vs Wounded_0h","pdam_00008429","COL9A1: Collagen alpha-1(IX) chain (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00008407","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017479","CG12259: Protein FAM50 homolog (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00023812","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012101","BR3: Balbiani ring protein 3 (Chironomus tentans)"
"Wounded_2h vs Wounded_0h","pdam_00005815","Sec22a: Vesicle-trafficking protein SEC22a (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00010750","Ptchd3: Patched domain-containing protein 3 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010758","SPTBN1: Spectrin beta chain%2C non-erythrocytic 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00010771","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016686","PSMA3: Proteasome subunit alpha type-3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00012180","SYT7: Synaptotagmin-7 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00012075","HORMAD1: HORMA domain-containing protein 1 (Macaca fascicularis)"
"Wounded_2h vs Wounded_0h","pdam_00003351","ARMC3: Armadillo repeat-containing protein 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003402","DYNLT1: Dynein light chain Tctex-type 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003408","DNAJC16: DnaJ homolog subfamily C member 16 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003377","M6pr: Cation-dependent mannose-6-phosphate receptor (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00016239","XDH: Xanthine dehydrogenase/oxidase (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00016249","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00018541","Pde4d: cAMP-specific 3'%2C5'-cyclic phosphodiesterase 4D (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012041","Scfd1: Sec1 family domain-containing protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00017339","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017335","Acad10: Acyl-CoA dehydrogenase family member 10 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00023818","MRPS22: 28S ribosomal protein S22%2C mitochondrial (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00014942","RET: Proto-oncogene tyrosine-protein kinase receptor Ret (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00008395","Dlgap5: Disks large-associated protein 5 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00001610","UTP14A: U3 small nucleolar RNA-associated protein 14 homolog A (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00001595","Igf2r: Cation-independent mannose-6-phosphate receptor (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00001600","ARMC2: Armadillo repeat-containing protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013395","Psma4: Proteasome subunit alpha type-4 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00013840","Cox10: Protoheme IX farnesyltransferase%2C mitochondrial (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00016431","BECN1: Beclin-1 (Sus scrofa)"
"Wounded_2h vs Wounded_0h","pdam_00016428","serhl: Serine hydrolase-like protein (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00003505","KCNC1: Potassium voltage-gated channel subfamily C member 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003481","Amotl1: Angiomotin-like protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00003491","dcaf8: DDB1- and CUL4-associated factor 8 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00026034","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017834","POLR2I: DNA-directed RNA polymerase II subunit RPB9 (Sus scrofa)"
"Wounded_2h vs Wounded_0h","pdam_00010658","Colec12: Collectin-12 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00010678","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010670","Flo1: Flotillin-1 (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00017591","NHP2: H/ACA ribonucleoprotein complex subunit 2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))"
"Wounded_2h vs Wounded_0h","pdam_00023723","ppp1cb: Serine/threonine-protein phosphatase PP1-beta catalytic subunit (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00023720","Pcbd1: Pterin-4-alpha-carbinolamine dehydratase (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00000728","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00000731","GCAT: 2-amino-3-ketobutyrate coenzyme A ligase%2C mitochondrial (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00000717","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00007990","Profilin-2 (Acanthamoeba castellanii)"
"Wounded_2h vs Wounded_0h","pdam_00019785","UTP4: U3 small nucleolar RNA-associated protein 4 homolog (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00012368","lhpp: Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00012390","Uncharacterized protein C10orf88 homolog (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00012359","v1g246111: Stimulator of interferon genes protein (Nematostella vectensis)"
"Wounded_2h vs Wounded_0h","pdam_00015305","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00022740","H4DEKL: Histone H4 (Dendronephthya klunzingeri)"
"Wounded_2h vs Wounded_0h","pdam_00022046","Alcohol dehydrogenase class-3 (Sparus aurata)"
"Wounded_2h vs Wounded_0h","pdam_00003145","ARRDC3: Arrestin domain-containing protein 3 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00003180","Psmc3: 26S protease regulatory subunit 6A (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00003219",""
"Wounded_2h vs Wounded_0h","pdam_00003200","H6PD: GDH/6PGL endoplasmic bifunctional protein (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00004277","GAB1: GRB2-associated-binding protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00004305","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006314","sox3: Transcription factor Sox-3 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00006303","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00021877","trim71: E3 ubiquitin-protein ligase TRIM71 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00020188","Jkamp: JNK1/MAPK8-associated membrane protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020184","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00007895","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00018162","arl8ba: ADP-ribosylation factor-like protein 8B-A (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00021089","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002117","Bnip1: Vesicle transport protein SEC20 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00002115","Nsd2: Histone-lysine N-methyltransferase NSD2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00002138","KLKB1: Plasma kallikrein (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00002150","SH3PXD2A: "
"Wounded_2h vs Wounded_0h","pdam_00015006","DMGDH: Dimethylglycine dehydrogenase%2C mitochondrial (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00015016","SMN1: Survival motor neuron protein (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00015015","PGPEP1: Pyroglutamyl-peptidase 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00015009","rbm8a: RNA-binding protein 8A (Salmo salar)"
"Wounded_2h vs Wounded_0h","pdam_00014997","NPHP1: Nephrocystin-1 (Fragment) (Canis lupus familiaris)"
"Wounded_2h vs Wounded_0h","pdam_00010155","TFG: Protein TFG (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00010141","GART: Trifunctional purine biosynthetic protein adenosine-3 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00000638","WNT-1: Protein Wnt-1 (Ambystoma mexicanum)"
"Wounded_2h vs Wounded_0h","pdam_00000501","ALK: ALK tyrosine kinase receptor (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00000646","phf10: PHD finger protein 10 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00000696","Ube2e3: Ubiquitin-conjugating enzyme E2 E3 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00000680","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00000586","TPMT: Thiopurine S-methyltransferase (Gorilla gorilla gorilla)"
"Wounded_2h vs Wounded_0h","pdam_00000597","KLHL5: Kelch-like protein 5 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003809","STX5: Syntaxin-5 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00019357","Actin%2C cytoplasmic (Pisaster ochraceus)"
"Wounded_2h vs Wounded_0h","pdam_00021366","CCDC28B: Coiled-coil domain-containing protein 28B (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00022072","Pisd: Phosphatidylserine decarboxylase proenzyme%2C mitochondrial (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00018065","rab4b: Ras-related protein Rab-4B (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00017008","Mrpl3: 39S ribosomal protein L3%2C mitochondrial (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00012899","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020742","AGL: Glycogen debranching enzyme (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00000042","NDUFA6: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Pan troglodytes)"
"Wounded_2h vs Wounded_0h","pdam_00000064","v1g174619: MAU2 chromatid cohesion factor homolog (Nematostella vectensis)"
"Wounded_2h vs Wounded_0h","pdam_00000163","Pias1: E3 SUMO-protein ligase PIAS1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00018310","Exoc3: Exocyst complex component 3 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00015040","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00015037","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005465","Lrriq1: Leucine-rich repeat and IQ domain-containing protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00005368","Mlxipl: Carbohydrate-responsive element-binding protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012352","pkd2: Polycystin-2 (Oryzias latipes)"
"Wounded_2h vs Wounded_0h","pdam_00014060","Snx27: Sorting nexin-27 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014069","HUA1: Zinc finger CCCH domain-containing protein 37 (Arabidopsis thaliana)"
"Wounded_2h vs Wounded_0h","pdam_00010097","Aequorin-2 (Aequorea victoria)"
"Wounded_2h vs Wounded_0h","pdam_00007357","chuk: Inhibitor of nuclear factor kappa-B kinase subunit alpha (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00007397","bcpC: Phosphonopyruvate decarboxylase (Streptomyces hygroscopicus)"
"Wounded_2h vs Wounded_0h","pdam_00007394","efnb2a: Ephrin-B2a (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00012855","ALDH2: Aldehyde dehydrogenase%2C mitochondrial (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00019032","TMEM128: Transmembrane protein 128 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00025854","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00011129","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004770","CECR5: Cat eye syndrome critical region protein 5 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00004749","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017784","trim71: E3 ubiquitin-protein ligase TRIM71 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00010218","TMEM244: Transmembrane protein 244 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00017455","Octbeta2R: Octopamine receptor beta-2R (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00020074","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020086","Amacr: Alpha-methylacyl-CoA racemase (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00011809","UHRF1BP1L: UHRF1-binding protein 1-like (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00011811","l(2)03659: Probable multidrug resistance-associated protein lethal(2)03659 (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00011832","CFAP52: Cilia- and flagella-associated protein 52 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00016046","sepsecs: O-phosphoseryl-tRNA(Sec) selenium transferase (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00016042","TIAL1: Nucleolysin TIAR (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013980","YWHAE: 14-3-3 protein epsilon (Ovis aries)"
"Wounded_2h vs Wounded_0h","pdam_00013981","ywhaz: 14-3-3 protein zeta (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00009119","Sowaha: Ankyrin repeat domain-containing protein SOWAHA (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009116","TrpA1: Transient receptor potential cation channel subfamily A member 1 (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00009110","Amfr: E3 ubiquitin-protein ligase AMFR (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009105","DAD1: Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Sus scrofa)"
"Wounded_2h vs Wounded_0h","pdam_00017633","slc22a15: Solute carrier family 22 member 15 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00013314","Faap100: Fanconi anemia core complex-associated protein 100 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00013305","WDTC1: WD and tetratricopeptide repeats protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013730","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006566","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017572","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005626","Skeletal aspartic acid-rich protein 1 (Acropora millepora)"
"Wounded_2h vs Wounded_0h","pdam_00011467","timm13-b: Mitochondrial import inner membrane translocase subunit Tim13-B (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00011461","FAM76A: Protein FAM76A (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00022195","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013496","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008204","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008221","Ndfip1: NEDD4 family-interacting protein 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00017729","Taf1c: TATA box-binding protein-associated factor%2C RNA polymerase I%2C subunit C (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00023648","ETFB: Electron transfer flavoprotein subunit beta (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013934","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010191","Hlx: H2.0-like homeobox protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00006393","cptp: Ceramide-1-phosphate transfer protein (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00013155","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013154","PAIP1: Polyadenylate-binding protein-interacting protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013147","ADGRL2: Adhesion G protein-coupled receptor L2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020749","NDUFA13: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00003993","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00009542","SCLT1: Sodium channel and clathrin linker 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00009563","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00025834","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00001876","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001873","PDE3A: cGMP-inhibited 3'%2C5'-cyclic phosphodiesterase A (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00001911","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001971","CNOT6: CCR4-NOT transcription complex subunit 6 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00001939","FKBP62: Peptidyl-prolyl cis-trans isomerase FKBP62 (Arabidopsis thaliana)"
"Wounded_2h vs Wounded_0h","pdam_00020096","Iqsec1: IQ motif and SEC7 domain-containing protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00007567","tld: Dorsal-ventral patterning protein tolloid (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00007571","MAM and LDL-receptor class A domain-containing protein 1 (Fragment) (Acropora millepora)"
"Wounded_2h vs Wounded_0h","pdam_00019592","flt4: Vascular endothelial growth factor receptor 3 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00008857","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008818","Ttn: Titin (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00008677","zmynd10: Zinc finger MYND domain-containing protein 10 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00021296","TBC1D13: TBC1 domain family member 13 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00007220","ddaC: Dapdiamide synthesis protein DdaC (Enterobacter agglomerans)"
"Wounded_2h vs Wounded_0h","pdam_00007213","PEAMT: Phosphoethanolamine N-methyltransferase (Spinacia oleracea)"
"Wounded_2h vs Wounded_0h","pdam_00005966","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005978","Gstk1: Glutathione S-transferase kappa 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00023838","INPP5F: Phosphatidylinositide phosphatase SAC2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00011170","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010575","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00007274","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020529","POLR2F: DNA-directed RNA polymerases I%2C II%2C and III subunit RPABC2 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00025551","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00022293","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017986","Tprkb: EKC/KEOPS complex subunit Tprkb (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00017988","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006525","Fibp: Acidic fibroblast growth factor intracellular-binding protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00022056","ADORA2A: Adenosine receptor A2a (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00002237","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002222","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002322","Mpdz: Multiple PDZ domain protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020011","MGAT5: Alpha-1%2C6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Cricetulus griseus)"
"Wounded_2h vs Wounded_0h","pdam_00016758","RFX5: DNA-binding protein RFX5 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00014298","Cep295: Centrosomal protein of 295 kDa (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00006209","aah2: Alpha-amylase 2 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))"
"Wounded_2h vs Wounded_0h","pdam_00006188","Mrps25: 28S ribosomal protein S25%2C mitochondrial (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012515","Atg4c: Cysteine protease ATG4C (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010551","poc5: Centrosomal protein POC5 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00010556","RNF180: E3 ubiquitin-protein ligase RNF180 (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00020480","GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)"
"Wounded_2h vs Wounded_0h","pdam_00019979","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004870","rft1: Protein RFT1 homolog (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00004932","Grb14: Growth factor receptor-bound protein 14 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00004897","SNX4: Sorting nexin-4 (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00004922","TCF15: Transcription factor 15 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00021929","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00023601","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00023693","cyp17a1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Oryzias latipes)"
"Wounded_2h vs Wounded_0h","pdam_00001405","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001428","BTN1: Protein BTN1 (Yarrowia lipolytica (strain CLIB 122 / E 150))"
"Wounded_2h vs Wounded_0h","pdam_00001435","CCR4: C-C chemokine receptor type 4 (Canis lupus familiaris)"
"Wounded_2h vs Wounded_0h","pdam_00001459","Dnm1l: Dynamin-1-like protein (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00008561","Pan2: PAB-dependent poly(A)-specific ribonuclease subunit PAN2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00008551","nop16: Nucleolar protein 16 (Tetraodon nigroviridis)"
"Wounded_2h vs Wounded_0h","pdam_00017896","MMP2: 72 kDa type IV collagenase (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00013264","Cyb5d2: Neuferricin (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00013243","Elavl1: ELAV-like protein 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00013235","ceeh-1: Epoxide hydrolase 1 (Caenorhabditis elegans)"
"Wounded_2h vs Wounded_0h","pdam_00011738","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00011739","TLR2: Toll-like receptor 2 (Boselaphus tragocamelus)"
"Wounded_2h vs Wounded_0h","pdam_00005301","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00009301","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006408","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00021695","Cd2bp2: CD2 antigen cytoplasmic tail-binding protein 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00022604","Protein C9orf72 homolog (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012947","pdcd10: Programmed cell death protein 10 (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00012959","unknown function"
