Gene,cluster,intersection_group,Gene_Function
pdam_00015455,15,Wounded 1h and Wounded 2h,TOMM20: Mitochondrial import receptor subunit TOM20 homolog (Pongo abelii)
pdam_00015495,22,Wounded 4h,MRPL17: 39S ribosomal protein L17%2C mitochondrial (Homo sapiens)
pdam_00015691,22,Wounded 4h,SCD: Acyl-CoA desaturase (Bos taurus)
pdam_00015712,22,Wounded 4h,hibch: 3-hydroxyisobutyryl-CoA hydrolase%2C mitochondrial (Danio rerio)
pdam_00015787,24,Wounded 1h and Wounded 2h,TDG: G/T mismatch-specific thymine DNA glycosylase (Homo sapiens)
pdam_00015836,15,Wounded 2h,AP4S1: AP-4 complex subunit sigma-1 (Homo sapiens)
pdam_00015861,15,Wounded 2h,F13H10.3: Sodium-coupled neutral amino acid transporter 9 homolog (Caenorhabditis elegans)
pdam_00015929,21,Wounded 4h,Hephaestin-like protein (Acropora millepora)
pdam_00015960,21,Wounded 4h,PLEKHB2: Pleckstrin homology domain-containing family B member 2 (Pongo abelii)
pdam_00015967,21,Wounded 4h,Equistatin (Actinia equina)
pdam_00015998,22,Wounded 4h,Wdr31: WD repeat-containing protein 31 (Mus musculus)
pdam_00016177,22,Wounded 4h,APLF: Aprataxin and PNK-like factor (Homo sapiens)
pdam_00016206,24,Wounded 2h,unknown function
pdam_00016216,24,Wounded 2h,mshA: D-inositol 3-phosphate glycosyltransferase (Nocardioides sp. (strain ATCC BAA-499 / JS614))
pdam_00016288,22,Wounded 4h,mrps7: 28S ribosomal protein S7%2C mitochondrial (Danio rerio)
pdam_00016409,15,Wounded 2h,GTSF1: Gametocyte-specific factor 1 (Macaca fascicularis)
pdam_00016428,24,Wounded 2h,serhl: Serine hydrolase-like protein (Danio rerio)
pdam_00016495,15,Wounded 1h,unknown function
pdam_00016544,15,Wounded 2h,Gfpt1: Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (Rattus norvegicus)
pdam_00016580,24,Wounded 2h,GNG11: Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 (Bos taurus)
pdam_00016598,21,Wounded 4h,TP73: Tumor protein p73 (Chlorocebus aethiops)
pdam_00016713,22,Wounded 2h and Wounded 4h,Rpusd2: RNA pseudouridylate synthase domain-containing protein 2 (Mus musculus)
pdam_00016714,15,Wounded 1h,BRAFLDRAFT_58504: Anamorsin homolog (Branchiostoma floridae)
pdam_00016844,21,Wounded 4h,unknown function
pdam_00017201,21,Wounded 4h,gtpA: GTP-binding protein A (Dictyostelium discoideum)
pdam_00017267,15,Wounded 2h,Galr2: Galanin receptor type 2 (Rattus norvegicus)
pdam_00017275,22,Wounded 4h,unknown function
pdam_00017339,24,Wounded 2h,unknown function
pdam_00017479,24,Wounded 2h,CG12259: Protein FAM50 homolog (Drosophila melanogaster)
pdam_00017587,22,Wounded 4h,FGFR: Fibroblast growth factor receptor (Halocynthia roretzi)
pdam_00017611,22,Wounded 4h,unknown function
pdam_00017664,15,Wounded 2h,Rnf166: RING finger protein 166 (Rattus norvegicus)
pdam_00017747,22,Wounded 4h,unknown function
pdam_00017759,22,Wounded 4h,unknown function
pdam_00017780,21,Wounded 4h,MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)
pdam_00017834,15,Wounded 2h,POLR2I: DNA-directed RNA polymerase II subunit RPB9 (Sus scrofa)
pdam_00017986,15,Wounded 2h,Tprkb: EKC/KEOPS complex subunit Tprkb (Mus musculus)
pdam_00017988,24,Wounded 2h,unknown function
pdam_00018033,21,Wounded 4h,tll1: Dorsal-ventral patterning tolloid-like protein 1 (Danio rerio)
pdam_00018106,21,Wounded 4h,Znf318: Zinc finger protein 318 (Fragment) (Mus musculus)
pdam_00018127,15,Wounded 1h and Wounded 2h,HSPA5: 78 kDa glucose-regulated protein (Bos taurus)
pdam_00018162,15,Wounded 2h,arl8ba: ADP-ribosylation factor-like protein 8B-A (Danio rerio)
pdam_00018214,24,Wounded 2h,uba2: SUMO-activating enzyme subunit 2 (Xenopus tropicalis)
pdam_00018250,22,Wounded 4h,Rnaseh2c: Ribonuclease H2 subunit C (Mus musculus)
pdam_00018282,15,Wounded 2h,unknown function
pdam_00018347,21,Wounded 4h,unknown function
pdam_00018352,21,Wounded 2h and Wounded 4h,BAG3: BAG family molecular chaperone regulator 3 (Homo sapiens)
pdam_00018404,22,Wounded 4h,Rfc1: Replication factor C subunit 1 (Mus musculus)
pdam_00018508,22,Wounded 4h,Dermatopontin (Biomphalaria glabrata)
pdam_00018541,24,Wounded 2h,Pde4d: cAMP-specific 3'%2C5'-cyclic phosphodiesterase 4D (Mus musculus)
pdam_00018614,22,Wounded 4h,NCS1: Neuronal calcium sensor 1 (Pongo abelii)
pdam_00018645,21,Wounded 4h,Tollip: Toll-interacting protein (Rattus norvegicus)
pdam_00018669,22,Wounded 4h,unknown function
pdam_00018734,24,Wounded 1h and Wounded 2h,RPGR: X-linked retinitis pigmentosa GTPase regulator (Homo sapiens)
pdam_00018835,15,Wounded 2h,Rwdd2b: RWD domain-containing protein 2B (Mus musculus)
pdam_00018886,24,Wounded 2h,Dnajc4: DnaJ homolog subfamily C member 4 (Mus musculus)
pdam_00019032,15,Wounded 2h,TMEM128: Transmembrane protein 128 (Bos taurus)
pdam_00019081,21,Wounded 4h,Kif14: Kinesin-like protein KIF14 (Mus musculus)
pdam_00019180,22,Wounded 4h,MAM and fibronectin type III domain-containing protein 1 (Fragment) (Acropora millepora)
pdam_00019281,15,Wounded 4h,unknown function
pdam_00019292,24,Wounded 2h,gamt-a: Guanidinoacetate N-methyltransferase A (Xenopus laevis)
pdam_00019345,15,Wounded 2h,zgpat: Zinc finger CCCH-type with G patch domain-containing protein (Danio rerio)
pdam_00019365,22,Wounded 1h,trim71: E3 ubiquitin-protein ligase TRIM71 (Xenopus tropicalis)
pdam_00019379,22,Wounded 4h,unknown function
pdam_00019388,22,Wounded 4h,unknown function
pdam_00019448,21,Wounded 4h,TMC7: Transmembrane channel-like protein 7 (Macaca fascicularis)
pdam_00019501,21,Wounded 4h,Athl1: Acid trehalase-like protein 1 (Mus musculus)
pdam_00019569,15,All time points,FBXL20: F-box/LRR-repeat protein 20 (Homo sapiens)
pdam_00019589,21,Wounded 2h and Wounded 4h,Pxdn: Peroxidasin homolog (Mus musculus)
pdam_00019602,21,Wounded 1h,unknown function
pdam_00019648,22,Wounded 4h,G6PD: Glucose-6-phosphate 1-dehydrogenase (Macropus robustus)
pdam_00019683,21,Wounded 4h,HS1BP3: HCLS1-binding protein 3 (Homo sapiens)
pdam_00019706,24,Wounded 2h,FGF2: Fibroblast growth factor 2 (Monodelphis domestica)
pdam_00019733,24,Wounded 2h,Atpalpha: Sodium/potassium-transporting ATPase subunit alpha (Drosophila melanogaster)
pdam_00019824,22,Wounded 4h,POLR3H: DNA-directed RNA polymerase III subunit RPC8 (Homo sapiens)
pdam_00019828,24,Wounded 2h,ACTII: Actin-2 (Echinococcus granulosus)
pdam_00019979,15,Wounded 2h,unknown function
pdam_00020004,24,Wounded 2h,Mfn2: Mitofusin-2 (Mus musculus)
pdam_00020058,24,Wounded 2h,unknown function
pdam_00020086,24,Wounded 2h,Amacr: Alpha-methylacyl-CoA racemase (Rattus norvegicus)
pdam_00020096,24,Wounded 2h,Iqsec1: IQ motif and SEC7 domain-containing protein 1 (Mus musculus)
pdam_00020171,24,Wounded 2h,unknown function
pdam_00020184,15,Wounded 2h,unknown function
pdam_00020188,15,Wounded 2h,Jkamp: JNK1/MAPK8-associated membrane protein (Mus musculus)
pdam_00020205,15,Wounded 2h,v1g209471: UPF0669 protein v1g209471 (Nematostella vectensis)
pdam_00020215,22,Wounded 4h,PDHA1: Pyruvate dehydrogenase E1 component subunit alpha%2C somatic form%2C mitochondrial (Bos taurus)
pdam_00020344,15,Wounded 2h,Ppm1j: Protein phosphatase 1J (Rattus norvegicus)
pdam_00020364,24,Wounded 2h,unknown function
pdam_00020375,24,Wounded 2h,wdr1-b: WD repeat-containing protein 1-B (Xenopus laevis)
pdam_00020423,21,Wounded 4h,ARID2: AT-rich interactive domain-containing protein 2 (Homo sapiens)
pdam_00020442,22,Wounded 4h,PARP1: Poly [ADP-ribose] polymerase 1 (Gallus gallus)
pdam_00020449,21,Wounded 4h,Banf1: Barrier-to-autointegration factor (Mus musculus)
pdam_00020480,24,Wounded 2h,GFP-like fluorescent chromoprotein amFP486 (Anemonia manjano)
pdam_00020539,24,Wounded 2h,unknown function
pdam_00020550,15,Wounded 2h,unknown function
pdam_00020559,22,Wounded 4h,unknown function
pdam_00020574,24,Wounded 2h,Robo3: Roundabout homolog 3 (Mus musculus)
pdam_00020588,22,Wounded 4h,trim71: E3 ubiquitin-protein ligase TRIM71 (Xenopus tropicalis)
pdam_00020599,24,Wounded 2h,unknown function
pdam_00020697,21,Wounded 4h,Tmprss6: Transmembrane protease serine 6 (Mus musculus)
pdam_00020749,24,Wounded 2h,NDUFA13: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Bos taurus)
pdam_00020772,15,Wounded 2h,Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus)
pdam_00020798,22,Wounded 2h and Wounded 4h,MAD2L2: Mitotic spindle assembly checkpoint protein MAD2B (Bos taurus)
pdam_00020885,22,Wounded 4h,CLIC1: Chloride intracellular channel protein 1 (Homo sapiens)
pdam_00020926,21,Wounded 4h,RAB23: Ras-related protein Rab-23 (Homo sapiens)
pdam_00020962,21,Wounded 4h,Proser1: Proline and serine-rich protein 1 (Mus musculus)
pdam_00021033,22,Wounded 4h,unknown function
pdam_00021257,24,Wounded 2h,APIP: Methylthioribulose-1-phosphate dehydratase (Gallus gallus)
pdam_00021336,22,Wounded 4h,Stra6l: Stimulated by retinoic acid gene 6 protein-like (Mus musculus)
pdam_00021366,15,Wounded 2h,CCDC28B: Coiled-coil domain-containing protein 28B (Homo sapiens)
pdam_00021437,22,Wounded 4h,POLD3: DNA polymerase delta subunit 3 (Homo sapiens)
pdam_00021503,21,Wounded 4h,Hlx: H2.0-like homeobox protein (Mus musculus)
pdam_00021519,22,Wounded 4h,Adgrd1: Adhesion G-protein coupled receptor D1 (Mus musculus)
pdam_00021552,22,Wounded 4h,unknown function
pdam_00021666,22,Wounded 4h,ntmt1-b: N-terminal Xaa-Pro-Lys N-methyltransferase 1-B (Xenopus laevis)
pdam_00021709,22,Wounded 4h,TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)
pdam_00021773,21,Wounded 4h,unknown function
pdam_00021997,21,Wounded 4h,ROBO1: Roundabout homolog 1 (Homo sapiens)
pdam_00022018,21,Wounded 4h,F2: Prothrombin (Homo sapiens)
pdam_00022054,22,Wounded 4h,Gamma-butyrobetaine dioxygenase (Pseudomonas sp. (strain AK-1))
pdam_00022072,15,Wounded 2h,Pisd: Phosphatidylserine decarboxylase proenzyme%2C mitochondrial (Mus musculus)
pdam_00022123,22,Wounded 4h,NTF2: Nuclear transport factor 2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
pdam_00022146,15,Wounded 2h,ORC3: Origin recognition complex subunit 3 (Spermophilus citellus)
pdam_00022158,22,Wounded 4h,Folh1: Glutamate carboxypeptidase 2 (Rattus norvegicus)
pdam_00022159,22,Wounded 4h,Naalad2: N-acetylated-alpha-linked acidic dipeptidase 2 (Mus musculus)
pdam_00022293,24,Wounded 2h,unknown function
pdam_00022298,22,Wounded 4h,Snx6: Sorting nexin-6 (Mus musculus)
pdam_00022448,22,Wounded 4h,CRCP: DNA-directed RNA polymerase III subunit RPC9 (Bos taurus)
pdam_00022471,24,Wounded 1h and Wounded 2h,EIF2AK4: eIF-2-alpha kinase GCN2 (Homo sapiens)
pdam_00022671,15,Wounded 2h,unknown function
pdam_00022718,21,Wounded 4h,Hmcn2: Hemicentin-2 (Mus musculus)
pdam_00022847,21,Wounded 4h,KLHDC3: Kelch domain-containing protein 3 (Bos taurus)
pdam_00022908,22,Wounded 4h,cyp3a56: Cytochrome P450 3A56 (Fundulus heteroclitus)
pdam_00022947,24,Wounded 2h,Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)
pdam_00023068,21,Wounded 4h,TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)
pdam_00023084,24,Wounded 2h,BHMT: Betaine--homocysteine S-methyltransferase 1 (Pongo abelii)
pdam_00023102,15,Wounded 2h,unknown function
pdam_00023141,21,Wounded 4h,unknown function
pdam_00023261,24,Wounded 2h,Cdc20: Cell division cycle protein 20 homolog (Mus musculus)
pdam_00023485,21,Wounded 4h,unknown function
pdam_00023653,21,Wounded 4h,unknown function
pdam_00023715,24,Wounded 2h,ATF7IP: Activating transcription factor 7-interacting protein 1 (Gallus gallus)
pdam_00023723,15,Wounded 2h,ppp1cb: Serine/threonine-protein phosphatase PP1-beta catalytic subunit (Xenopus tropicalis)
pdam_00023798,22,Wounded 4h,Ddo: D-aspartate oxidase (Mus musculus)
pdam_00023803,21,Wounded 4h,Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)
pdam_00023812,15,Wounded 2h,unknown function
pdam_00023828,15,Wounded 4h,SENP8: Sentrin-specific protease 8 (Homo sapiens)
pdam_00023838,24,Wounded 2h,INPP5F: Phosphatidylinositide phosphatase SAC2 (Homo sapiens)
pdam_00023840,22,Wounded 4h,unknown function
pdam_00023979,22,Wounded 4h,unknown function
pdam_00024053,24,Wounded 2h,unknown function
pdam_00024230,22,Wounded 4h,unknown function
pdam_00024388,22,Wounded 4h,ADGRD1: Adhesion G-protein coupled receptor D1 (Bos taurus)
pdam_00024495,21,Wounded 4h,COL1A2: Collagen alpha-2(I) chain (Fragment) (Oryctolagus cuniculus)
pdam_00024503,21,Wounded 4h,unknown function
pdam_00024567,15,Wounded 1h and Wounded 2h,unknown function
pdam_00024639,22,Wounded 4h,TRAF4: TNF receptor-associated factor 4 (Homo sapiens)
pdam_00024777,22,Wounded 4h,unknown function
pdam_00024803,22,Wounded 4h,unknown function
pdam_00024838,24,Wounded 2h and Wounded 4h,TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)
pdam_00024855,24,Wounded 2h,unknown function
pdam_00024941,22,Wounded 4h,TRAF6: TNF receptor-associated factor 6 (Macaca mulatta)
pdam_00024958,22,Wounded 4h,GPSM2: G-protein-signaling modulator 2 (Homo sapiens)
pdam_00025024,24,Wounded 2h,unknown function
pdam_00025269,22,Wounded 4h,Ectin (Fragment) (Acropora millepora)
pdam_00025487,15,Wounded 1h and Wounded 2h,unknown function
pdam_00025503,22,Wounded 4h,unknown function
pdam_00025545,15,Wounded 1h and Wounded 2h,RAB18: Ras-related protein Rab-18 (Gallus gallus)
pdam_00025551,24,Wounded 2h,unknown function
pdam_00025728,22,Wounded 2h and Wounded 4h,unknown function
pdam_00025760,24,Wounded 2h,TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)
pdam_00025815,22,Wounded 4h,unknown function
pdam_00025854,24,Wounded 2h,unknown function
pdam_00025879,24,Wounded 2h,unknown function
pdam_00025999,15,Wounded 2h,unknown function
pdam_00026011,22,Wounded 4h,unknown function
pdam_00026034,15,Wounded 2h,unknown function
